序号,操作,物料编码,商品名称,审批状态,启/禁状态,"单位重量
吨/箱(组、包)",物料单位,"单位货值
元/箱(组、包)","纸箱价格
元/张",外包装箱价格,是否为促销物料,是否为箱内码促销,是否为消费者促销,是否五码合一,促销方式,封箱方式,是否有内膜,是否有外膜,箱内包装形式,箱内数量,箱内单位,投放区域,箱内是否有礼品,商品保质期,材质,备注,标箱折扣系数,品牌,物料大类,物料品类,商品图例,分配量,促销方案,保质期预警(天),有效期起,有效期止
219,编辑 删除,434,60000217,果倍爽/猕猴桃复合果汁/六袋装/200ML/2020年整箱促销,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 181, 'goods_id': 434, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
220,编辑 删除,433,60000216,果倍爽/黑加仑复合果汁/六袋装/200ML/2020年整箱促销,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 180, 'goods_id': 433, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
221,编辑 删除,432,60000215,果倍爽/桃苹果复合果汁/六袋装/200ML/2020年整箱促销,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 179, 'goods_id': 432, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
222,编辑 删除,431,60000214,果倍爽/梨汁/六袋装/200ML/2020年整箱促销,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 178, 'goods_id': 431, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
223,编辑 删除,430,60000213,果倍爽/白葡萄汁/六袋装/200ML/2020年整箱促销,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 177, 'goods_id': 430, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
224,编辑 删除,429,60000211,果倍爽/橙汁/六袋装/200ML/2020年整箱促销,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 176, 'goods_id': 429, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
225,编辑 删除,428,60000171,果倍爽/橙汁/六袋装/200ML/果小包,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 175, 'goods_id': 428, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
226,编辑 删除,427,60000221,果倍爽/橙汁/六袋装/200ML/运动版果小包,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 174, 'goods_id': 427, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
227,编辑 删除,426,60000185,果倍爽/猕猴桃复合果汁/六袋装/200ML/2019开箱有礼,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 173, 'goods_id': 426, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
228,编辑 删除,425,60000184,果倍爽/黑加仑复合果汁/六袋装/200ML/2019开箱有礼,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 172, 'goods_id': 425, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
229,编辑 删除,424,60000183,果倍爽/桃苹果复合果汁/六袋装/200ML/2019开箱有礼,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 171, 'goods_id': 424, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
230,编辑 删除,423,60000182,果倍爽/梨汁/六袋装/200ML/2019开箱有礼,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 170, 'goods_id': 423, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
231,编辑 删除,422,60000181,果倍爽/白葡萄汁/六袋装/200ML/2019开箱有礼,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 169, 'goods_id': 422, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
232,编辑 删除,421,60000180,果倍爽/橙汁/六袋装/200ML/2019开箱有礼,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 168, 'goods_id': 421, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
233,编辑 删除,420,60000091,果倍爽/猕猴桃复合果汁/200ML,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 167, 'goods_id': 420, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
234,编辑 删除,419,60000090,果倍爽/黑加仑复合果汁/200ML,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 166, 'goods_id': 419, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
235,编辑 删除,418,60000003,果倍爽/桃苹果复合果汁/200ML,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 165, 'goods_id': 418, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
236,编辑 删除,417,60000002,果倍爽/梨汁/200ML,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 164, 'goods_id': 417, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
237,编辑 删除,416,60000001,果倍爽/白葡萄汁/200ML,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 163, 'goods_id': 416, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
238,编辑 删除,415,60000000,果倍爽/橙汁/200ML,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 162, 'goods_id': 415, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
239,编辑 删除,414,,战马无糖解酒型试机装,0.00495,1.000,罐装战马,,罐装战马180ML,罐装战马180ML,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 161, 'goods_id': 414, 'weight': '0.00495', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
240,编辑 删除,413,,战马无糖型试机装,0.00495,1.000,罐装战马,,罐装战马180ML,罐装战马180ML,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 160, 'goods_id': 413, 'weight': '0.00495', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
241,编辑 删除,412,11000182,战马/180ML/24/罐装/含气/柠檬味,0.00498,1.000,罐装战马,,罐装战马180ML,罐装战马180ML,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 159, 'goods_id': 412, 'weight': '0.00498', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
242,编辑 删除,411,11000181,战马/180ML/24/罐装/含气/西柚味,0.00499,1.000,罐装战马,,罐装战马180ML,罐装战马180ML,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 158, 'goods_id': 411, 'weight': '0.00499', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
243,编辑 删除,410,11000180,战马/180ML/24/罐装/含气/白桃味,0.00499,1.000,罐装战马,,罐装战马180ML,罐装战马180ML,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 157, 'goods_id': 410, 'weight': '0.00499', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
244,编辑 删除,409,11000179,战马/180ML/24/罐装/含气/无糖,0.00499,1.000,罐装战马,,罐装战马180ML,罐装战马180ML,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 156, 'goods_id': 409, 'weight': '0.00499', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
245,编辑 删除,408,11000164,战马/180ML/6/罐装/玉米低聚肽,0.00128,0.250,罐装战马,,罐装战马180ML,罐装战马180ML,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 155, 'goods_id': 408, 'weight': '0.00128', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
246,编辑 删除,407,11000163,战马/180ML/6/罐装/大豆肽,0.00128,0.250,罐装战马,,罐装战马180ML,罐装战马180ML,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 154, 'goods_id': 407, 'weight': '0.00128', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
247,编辑 删除,406,11000162,战马/180ML/6/罐装/浓郁型,0.00128,0.250,罐装战马,,罐装战马180ML,罐装战马180ML,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 153, 'goods_id': 406, 'weight': '0.00128', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
248,编辑 删除,405,11000161,战马/180ML/6/罐装/柠檬味,0.00128,0.250,罐装战马,,罐装战马180ML,罐装战马180ML,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 152, 'goods_id': 405, 'weight': '0.00128', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
249,编辑 删除,404,11000160,战马/180ML/6/罐装/西柚味,0.00128,0.250,罐装战马,,罐装战马180ML,罐装战马180ML,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 151, 'goods_id': 404, 'weight': '0.00128', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
250,编辑 删除,403,11000159,战马/180ML/6/罐装/白桃味,0.00128,0.250,罐装战马,,罐装战马180ML,罐装战马180ML,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 150, 'goods_id': 403, 'weight': '0.00128', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
251,编辑 删除,402,11000221,战马/310ML/24/罐装/广东云南促销-篮球,0.00840,1.000,罐装战马,,罐装战马,"战马罐装
普通",0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 149, 'goods_id': 402, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
252,编辑 删除,401,11000214,战马/310ML/24/罐装/2023/穿越火线联名版,0.00840,1.000,罐装战马,,罐装战马,"战马罐装
普通",0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 148, 'goods_id': 401, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
253,编辑 删除,400,11000208,战马/310ML/24/罐装/常规-LPL女版,0.00840,1.000,罐装战马,,罐装战马,"战马罐装
普通",0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 147, 'goods_id': 400, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
254,编辑 删除,399,11000207,战马/310ML/24/罐装/广深东扫码-LPL女版,0.00840,1.000,罐装战马,,罐装战马,战马罐装2023促销,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 146, 'goods_id': 399, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
255,编辑 删除,398,11000206,战马/310ML/24/罐装/1元乐享2023-LPL女版,0.00840,1.000,罐装战马,,罐装战马,战马罐装2023促销,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 145, 'goods_id': 398, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
256,编辑 删除,397,11000205,战马/310ML/24/罐装/常规-LPL男版,0.00840,1.000,罐装战马,,罐装战马,"战马罐装
普通",0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 144, 'goods_id': 397, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
257,编辑 删除,396,11000204,战马/310ML/24/罐装/广深东扫码-LPL男版,0.00840,1.000,罐装战马,,罐装战马,战马罐装2023促销,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 143, 'goods_id': 396, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
258,编辑 删除,395,11000203,战马/310ML/24/罐装/1元乐享2023-LPL男版,0.00840,1.000,罐装战马,,罐装战马,战马罐装2023促销,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 142, 'goods_id': 395, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
259,编辑 删除,394,11000202,战马/310ML/24/罐装/常规-篮球,0.00840,1.000,罐装战马,,罐装战马,"战马罐装
普通",0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 141, 'goods_id': 394, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
260,编辑 删除,393,11000201,战马/310ML/24/罐装/广深东扫码-篮球,0.00840,1.000,罐装战马,,罐装战马,战马罐装2023促销,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 140, 'goods_id': 393, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
261,编辑 删除,392,11000200,战马/310ML/24/罐装/1元乐享2023-篮球,0.00840,1.000,罐装战马,,罐装战马,战马罐装2023促销,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 139, 'goods_id': 392, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
262,编辑 删除,391,11000178,战马/310ML/24/罐装/2022/常规-LPL男版,0.00840,1.000,罐装战马,,罐装战马,"战马罐装
普通",0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 138, 'goods_id': 391, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
263,编辑 删除,390,11000177,战马/310ML/24/罐装/2022/1元即享-LPL女版,0.00840,1.000,罐装战马,,罐装战马,战马罐装2022促销,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 137, 'goods_id': 390, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
264,编辑 删除,389,11000176,战马/310ML/24/罐装/2022/1元即享-LPL男版,0.00840,1.000,罐装战马,,罐装战马,战马罐装2022促销,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 136, 'goods_id': 389, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
265,编辑 删除,388,11000174,战马/310ML/24/罐装/2022/常规-LPL女版,0.00840,1.000,罐装战马,,罐装战马,"战马罐装
普通",0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 135, 'goods_id': 388, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
266,编辑 删除,387,11000173,战马/310ML/24/罐装/2022/常规-篮球,0.00840,1.000,罐装战马,,罐装战马,"战马罐装
普通",0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 134, 'goods_id': 387, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
267,编辑 删除,386,11000172,战马/310ML/24/罐装/2022/1元即享-街舞,0.00840,1.000,罐装战马,,罐装战马,战马罐装2022促销,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 133, 'goods_id': 386, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
268,编辑 删除,385,11000171,战马/310ML/24/罐装/2022/1元即享-篮球,0.00840,1.000,罐装战马,,罐装战马,战马罐装2022促销,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 132, 'goods_id': 385, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
269,编辑 删除,384,11000156,战马/310ML/24/罐装/2021/和平精英/扫码红包,0.00840,1.000,罐装战马,,罐装战马,战马罐装2021促销,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 131, 'goods_id': 384, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
270,编辑 删除,383,11000155,战马/310ML/24/罐装/2021/和平精英/礼上有礼,0.00840,1.000,罐装战马,,罐装战马,战马罐装2021促销,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 130, 'goods_id': 383, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
271,编辑 删除,382,11000153,战马/310ML/24/罐装/2021/扫码红包,0.00840,1.000,罐装战马,,罐装战马,战马罐装2021促销,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 129, 'goods_id': 382, 'weight': '0.00840', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
